ID	Nome	Tipo	Stato	Costo_ET	PEP	RP	Rarità	Effetto	Ruolo
1	Nucleo di Basalto	Solido	Freddo	4	1	5	Stabile	Questo Frammento non può essere spostato da effetti e non cambia colonna durante le Inversioni Temporali.	ancora difensiva, anti-Gas
2	Faglia Primaria	Solido	Freddo	4	1	6	Stabile	Durante la Collisione, quando vengono determinati i danni IT che dovresti subire, puoi distruggere questo Frammento. Se lo fai, riduci quei danni IT fino a 2.	scudo sacrificale
3	Residuo Cristallizzato	Solido	Freddo	3	1	4	Stabile	Se non subisci danni IT durante la Collisione, questo Frammento non slitta durante il prossimo Slittamento.	setup TP
4	Flusso Ricorrente	Liquido	Freddo	4	2	3	Stabile	Alla fine della Collisione, se questo Frammento si trova nel Presente, puoi spostarlo nel Futuro coperto prima dello Slittamento.	evasione
5	Abisso Termico	Liquido	Freddo	4	2	4	Stabile	Quando entra nel Presente, riduci la TP di 1. Se possiede 🔵 durante la Collisione, applica Assorbimento una volta addizionale (max 1).	controllo + difesa
6	Il Mercuriale	Liquido	Caldo	3	3	2	Stabile	Una volta per Round, durante la tua Fase Azione, puoi spostare questo Frammento dal Presente al Futuro.	pressione elastica
8	Sciame Termico	Gas	Caldo	4	4	1	Stabile	Quando entra nel Presente: TP +1.	pressione pura
9	Soffio di Saturazione	Gas	Caldo	4	5	1	Stabile	Se durante la Collisione possiede 🔴 e infligge danni IT ne infligge 1 addizionale.	finisher leggero
11	Espansione Entropica	Gas	Caldo	5	6	1	Stabile	Durante la Collisione, se possiede 🔴, infligge 1 IT addizionale.	pressione + instabilità
12	Impulso Ionico	Plasma	Caldo	4	5	1	Stabile	Quando entra nel Presente, se la TP è pari o superiore a +1, aumenta di 1 la TP. Poi, alla fine del turno, il suo controllore perde 1 IT.	colpo secco
13	Arco di Fusione	Plasma	Caldo	5	6	1	Stabile	Quando entra nel Presente: TP +1. Alla fine del Round, se possiede 🔴, pesca 1 carta e subisci 1 danno IT	plasma classico
15	Fulmine Residuo	Plasma	Caldo	3	4	0	Stabile	Quando entra nel Presente, infligge 1 danno IT al giocatore avversario. Durante la Collisione, questo Frammento ottiene +1 PEP.	danno postumo
17	Vuoto Reattivo	Materia Oscura	Neutro	5	5	3	Stabile	All’inizio della Collisione, se TP uguale a 0, infligge 1 danno IT a entrambi i giocatori.	controllo instabile
18	Massa Inversa	Materia Oscura	Neutro	6	6	4	Instabile	Quando avviene un’Inversione Temporale, distruggi un Frammento nel Presente.	deterrente TP
19	Shock Termico	Evento	Neutro	3			Stabile	Puoi giocare questa carta solo durante una Collisione. Scegli uno: TP +1 oppure TP -1.	reattivo universale
20	Pilastro di Contenimento	Solido	Freddo	3	1	4	Stabile	Se viene distrutto durante una Collisione, TP -1 all’inizio del prossimo turno..	Solido che lascia freddo
23	Base di Presidio	Solido	Freddo	4	2	5	Stabile	Se non subisci danni IT durante la Collisione, pesca 1 carta.	Difesa vantaggio
24	Nodo Inamovibile	Solido	Freddo	6	2	7	Instabile	Questo Frammento non slitta nel Passato. Se TP maggiore o uguale a +1, perde 1 RP (una volta per Round).	Presente permanente ma fragile
25	La Marea Inversa	Liquido	Caldo	4	3	3	Stabile	Quando entra nel Presente: TP +1. Se TP maggiore o uguale a +1, puoi spostare questo Frammento nel Passato.	Liquido aggressivo ma elusivo
26	Corrente di Assestamento	Liquido	Freddo	2	1	2	Stabile	Quando entra nel Presente, pesca 1 carta. Poi scarta 1 carta per ridurre di 1 il costo ET del prossimo Frammento che giochi nel Futuro.	Setup Future-deck
